고객번호,fluctuation,Monetary,cagr,A_Monetary_실제지출,B_Monetary_실제지출,C_Monetary_실제지출,D_Monetary_실제지출,A_fluctuation,B_fluctuation,C_fluctuation,D_fluctuation,고급_fluctuation,일반_fluctuation,편의_fluctuation,선매_fluctuation,전문_fluctuation,predict
6341,-1.0,13968832.0,0.089241790827387,18448490.0,483394.0,108198.0,0.0,0.001,0.001,0.001,0.001,0.0,-2.0,-2.0,-1.0,1.0,1
6342,1.0,5100686.0,-0.058019031833647,911800.0,494840.0,5468618.0,0.0,-2.0,0.001,0.0,0.001,1.0,1.0,2.0,-1.0,0.0,0
6343,0.0,13517290.0,0.0297775751368825,18112730.0,79350.0,29280.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0
6344,0.0,19180010.0,-0.0045387027797032,17097910.0,12013255.0,77191.0,0.0,1.0,-3.0,0.001,0.001,0.0,-1.0,-2.0,0.0,-3.0,0
6345,-3.0,7746800.0,-0.0188013221812523,8909030.0,53880.0,0.0,0.0,0.001,0.001,0.001,0.001,-5.0,-3.0,-3.0,-5.0,0.0,0
6346,0.0,12265017.0,-0.0086043206091098,51600.0,16302134.0,17220.0,0.0,0.001,1.0,0.001,0.001,0.0,-1.0,0.0,0.0,-1.0,0
6347,-1.0,9230846.0,0.0722837940840241,11853520.0,948186.0,3070.0,0.0,0.0,-3.0,0.001,0.001,0.0,-2.0,-1.0,0.0,0.0,1
6348,0.0,9365351.0,-0.00067940422331,2331270.0,9131232.0,1441637.0,192550.0,1.0,0.0,0.0,-7.0,1.0,0.0,0.0,1.0,0.0,1
6349,-1.0,6206438.0,0.0761304246284015,1610700.0,6268864.0,467889.0,0.0,-1.0,-1.0,-5.0,0.001,-1.0,1.0,1.0,-1.0,0.0,1
6350,-1.0,20753150.0,0.0576483477140785,250650.0,16801088.0,8175580.0,0.0,0.001,0.0,-1.0,0.001,0.0,-1.0,-1.0,0.0,-4.0,1
6351,0.0,6236053.0,0.0723876464108899,218600.0,7444362.0,405383.0,75400.0,0.001,-1.0,-3.0,-2.0,0.0,-1.0,-1.0,0.0,1.0,1
6352,2.0,23346196.0,-0.1441589352752295,29798520.0,339510.0,502354.0,0.0,0.001,0.001,0.001,0.001,1.0,1.0,2.0,0.0,3.0,0
6353,0.0,11204505.0,-0.0131543323475319,172000.0,12237527.0,174848.0,3900.0,0.001,0.0,0.001,0.001,0.0,0.0,1.0,0.0,-1.0,0
6354,-1.0,14649479.0,0.0332244994202501,14346690.0,3031120.0,533847.0,0.0,-1.0,1.0,1.0,0.001,-1.0,1.0,2.0,0.0,0.0,0
6355,0.0,594072125.0,-0.0693737811292802,778335670.0,1125090.0,10717167.0,0.0,0.0,-1.0,0.0,0.001,0.0,3.0,4.0,0.0,0.0,0
6356,-2.0,21464290.0,0.2386516486780641,26350260.0,10000.0,44450.0,0.0,0.001,0.001,0.001,0.001,-1.0,-5.0,-4.0,-1.0,0.0,1
6357,1.0,12440500.0,-0.0683240726422012,4106120.0,13604808.0,1632358.0,0.0,2.0,0.0,0.0,0.001,1.0,0.0,2.0,0.0,4.0,0
6358,2.0,27368804.0,-0.1440197053393034,33098560.0,2412591.0,26800.0,30300.0,1.0,1.0,0.001,0.001,1.0,2.0,2.0,0.0,2.0,0
6359,1.0,9599088.0,-0.0394196516196928,8027900.0,4608535.0,172115.0,0.0,0.0,-1.0,-2.0,0.001,0.0,1.0,1.0,0.0,-3.0,0
6360,1.0,74438163.0,-0.0820706933227348,99549940.0,886350.0,178890.0,0.0,1.0,-4.0,-3.0,0.001,0.0,2.0,0.0,0.0,0.0,0
6361,0.0,6410174.0,-0.0292656798733889,570180.0,1954262.0,5813834.0,22050.0,-1.0,1.0,0.0,-3.0,0.0,1.0,1.0,1.0,0.0,1
6362,1.0,70105836.0,-0.0778409175641915,82640730.0,1849524.0,87246.0,0.0,1.0,0.0,-4.0,0.001,0.0,-2.0,-1.0,0.0,2.0,0
6363,2.0,9411284.0,-0.0874027162288646,2514300.0,1805879.0,7314241.0,0.0,0.001,0.0,1.0,0.001,1.0,2.0,2.0,0.0,0.0,0
6364,0.0,19122686.0,-0.0144856476652435,6184700.0,19313970.0,163482.0,0.0,1.0,0.0,0.001,0.001,1.0,0.0,0.0,1.0,0.0,0
6365,0.0,28498080.0,0.0510829494661471,38194510.0,20520.0,65670.0,0.0,-1.0,0.001,0.001,0.001,1.0,-3.0,-3.0,1.0,0.0,0
6366,1.0,16157118.0,-0.0443058810330139,12500.0,7900.0,20640267.0,0.0,0.001,0.001,0.0,0.001,1.0,0.0,1.0,-1.0,-1.0,0
6367,1.0,9350422.0,-0.0482450819764774,25000.0,11767932.0,17470.0,0.0,0.001,1.0,0.001,0.001,0.0,2.0,2.0,0.0,0.001,0
6368,-2.0,14297320.0,0.1929402077049784,15618670.0,1037740.0,25820.0,0.0,0.001,0.001,0.001,0.001,-1.0,-4.0,-3.0,-1.0,-2.0,1
6369,1.0,12444246.0,-0.1127851684855566,1477400.0,12816975.0,1970231.0,0.0,-4.0,2.0,0.0,0.001,1.0,0.0,-1.0,2.0,2.0,0
6370,-1.0,12860956.0,0.077701508571681,16049570.0,983164.0,60950.0,9600.0,0.0,-2.0,0.001,0.001,-1.0,0.0,0.0,-1.0,0.0,1
6371,1.0,15097669.0,-0.0285229536361149,2239020.0,17516244.0,41000.0,0.0,1.0,0.0,0.001,0.001,0.0,1.0,0.0,0.0,5.0,0
6372,0.0,12475413.0,0.0095642027286793,3663050.0,13613791.0,7000.0,0.0,-1.0,1.0,0.001,0.001,0.0,0.0,1.0,0.0,-3.0,1
6373,-1.0,14150546.0,0.1633374969768126,4070530.0,490300.0,12771869.0,25800.0,-4.0,-3.0,-1.0,0.001,-2.0,-2.0,-1.0,-3.0,0.0,1
6374,-1.0,49786768.0,0.0423168953112031,49606640.0,9738390.0,33960.0,43850.0,0.0,1.0,0.001,-5.0,2.0,-3.0,-3.0,1.0,5.0,0
6375,1.0,21900024.0,-0.1227406814642155,28136690.0,1047164.0,7960.0,0.0,0.0,0.001,0.001,0.001,1.0,4.0,4.0,1.0,0.0,0
6376,0.0,60740600.0,0.0254934810133573,78409380.0,7190466.0,987089.0,0.0,-1.0,1.0,-1.0,0.001,0.0,0.0,1.0,0.0,0.0,1
6377,-1.0,14781658.0,0.0351519361850747,4260920.0,9729297.0,4910861.0,43300.0,0.0,1.0,-1.0,0.001,0.0,0.0,0.0,0.0,-1.0,1
6378,-5.0,9132408.0,1.1703573046324691,238800.0,180600.0,12619481.0,0.0,-4.0,0.001,-5.0,0.001,-4.0,-7.0,-8.0,-5.0,-4.0,1
6379,1.0,26567474.0,-0.1826308212250349,36610510.0,1537756.0,119016.0,0.0,1.0,-1.0,0.001,0.001,1.0,-1.0,0.0,2.0,-5.0,0
6380,1.0,28272122.0,-0.115447317209417,41563580.0,1985760.0,546480.0,0.0,0.0,0.0,0.001,0.001,0.0,5.0,4.0,0.0,0.0,0
6381,2.0,4696188.0,-0.1161942158488561,359000.0,6198107.0,1680.0,0.0,0.001,1.0,0.001,0.001,1.0,2.0,2.0,1.0,0.0,0
6382,1.0,59282800.0,-0.1743167527096872,89047790.0,146810.0,0.0,1000.0,0.001,0.001,0.001,0.001,1.0,5.0,0.0,2.0,0.0,1
6383,0.0,7567809.0,0.0108202923978437,1031390.0,9765805.0,212429.0,0.0,-2.0,0.0,0.001,0.001,0.0,0.0,1.0,0.0,0.0,1
6384,-1.0,65895660.0,0.0288328991257293,81549550.0,60000.0,3550.0,0.0,0.001,0.001,0.001,0.001,-1.0,2.0,2.0,0.0,0.0,0
6385,-2.0,6166085.0,0.1589194730982077,148000.0,8190721.0,97535.0,0.0,-3.0,-1.0,0.001,0.001,-1.0,-2.0,-1.0,-2.0,0.001,1
6386,3.0,7879490.0,-0.15915558513136,11584730.0,103040.0,0.0,0.0,0.001,0.001,0.001,0.001,1.0,4.0,3.0,0.0,2.0,0
6387,-1.0,59789442.0,0.0593487227828333,89503880.0,11390.0,456172.0,0.0,-1.0,0.001,-5.0,0.001,-1.0,0.0,1.0,-1.0,0.0,1
6388,2.0,40616327.0,-0.1505783931926493,55061910.0,138026.0,25421.0,1200.0,0.001,0.001,0.001,0.001,1.0,2.0,1.0,0.0,0.0,0
6389,-1.0,74127394.0,0.1394248321820803,102659600.0,1400896.0,3190.0,0.0,0.001,0.001,0.001,0.001,-1.0,-4.0,-2.0,0.0,-5.0,1
6390,0.0,11628404.0,0.0216681797861633,976560.0,15087819.0,26770.0,0.0,-1.0,0.0,0.001,0.001,-1.0,1.0,1.0,-1.0,0.0,1
6391,2.0,9502165.0,-0.1083200277996474,323400.0,11993022.0,0.0,0.0,-3.0,3.0,0.001,0.001,2.0,2.0,2.0,1.0,2.0,0
6392,1.0,8829203.0,-0.0680918600432867,954300.0,779107.0,9639529.0,0.0,2.0,-3.0,0.0,0.001,1.0,1.0,1.0,2.0,-1.0,0
6393,2.0,4902771.0,-0.1844853709221741,4095720.0,294683.0,2050055.0,0.0,2.0,-3.0,0.0,0.001,4.0,-1.0,-1.0,4.0,0.0,0
6394,-1.0,9062135.0,0.0364106862326885,2175240.0,10486589.0,46950.0,9100.0,0.001,0.0,0.001,0.001,0.0,-1.0,-1.0,0.0,-3.0,1
6395,1.0,34933044.0,-0.0932233634486243,40793990.0,4381831.0,29390.0,36400.0,0.0,0.0,-2.0,0.001,0.0,3.0,1.0,0.0,0.0,0
6396,1.0,9549137.0,-0.0467009526829893,1306500.0,837280.0,9910516.0,0.0,0.001,0.0,1.0,0.001,0.0,1.0,1.0,1.0,0.0,0
6397,1.0,98792266.0,-0.190822310854865,116689920.0,283828.0,30698.0,0.0,1.0,-3.0,-3.0,0.001,1.0,6.0,6.0,2.0,0.0,0
6398,0.0,16076349.0,0.0254964580449372,2255620.0,17898993.0,1364908.0,0.0,-4.0,0.0,0.0,0.001,-1.0,1.0,1.0,-1.0,-1.0,1
6399,1.0,11818006.0,-0.1140873035623892,18936180.0,370196.0,40924.0,0.0,0.001,0.001,0.001,0.001,1.0,0.0,0.0,1.0,-2.0,0
6400,-1.0,20263380.0,0.0543968675218329,27741820.0,1099030.0,32550.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,-1.0,-3.0,1
6401,0.0,11226246.0,0.0487503278779859,586800.0,14502238.0,103400.0,0.0,0.001,0.0,-2.0,0.001,-1.0,0.0,0.0,0.0,2.0,1
6402,-2.0,24094627.0,0.2167195849073768,28126430.0,3850514.0,0.0,23200.0,-2.0,-5.0,0.001,-5.0,-2.0,-1.0,-1.0,-3.0,3.0,1
6403,0.0,38286828.0,0.0871741861143611,49157070.0,2468306.0,15920.0,0.0,0.001,0.001,0.001,0.001,0.0,-3.0,-4.0,1.0,-2.0,1
6404,0.0,199418884.0,-0.0305749677238484,271007770.0,1889511.0,217959.0,0.0,0.0,-5.0,0.001,0.001,0.0,0.0,0.0,-1.0,0.0,0
6405,2.0,5338045.0,-0.0918814652789479,1974890.0,189733.0,4392952.0,0.0,0.001,0.001,-1.0,0.001,4.0,-1.0,-1.0,4.0,0.0,0
6406,0.0,10933777.0,0.0190047422134811,2540670.0,11393279.0,42500.0,0.0,0.0,1.0,0.001,0.001,0.0,0.0,1.0,0.0,0.0,0
6407,-3.0,18743610.0,0.265271173437767,25893140.0,57200.0,20510.0,0.0,0.001,0.001,0.001,0.001,-1.0,0.0,-3.0,1.0,0.0,1
6408,1.0,73924341.0,-0.1359271195208676,93074060.0,1531401.0,19800.0,0.0,1.0,0.0,0.001,0.001,2.0,0.0,0.0,1.0,0.0,0
6409,0.0,54866577.0,0.025609118469958,94890600.0,1046643.0,314211.0,0.0,-1.0,-4.0,-4.0,0.001,0.0,-1.0,-1.0,0.0,3.0,1
6410,-1.0,30887854.0,0.1227189996786335,40206590.0,53350.0,1133896.0,0.0,-1.0,0.001,-5.0,0.001,0.0,-1.0,-1.0,-1.0,-3.0,1
6411,-1.0,43403010.0,0.1210609487886793,59387450.0,1942617.0,3745491.0,0.0,-1.0,2.0,-1.0,0.001,0.0,-4.0,-4.0,-1.0,0.0,1
6412,0.0,10137092.0,0.0449204553058315,32700.0,13241834.0,3350.0,0.0,0.001,0.0,0.001,0.001,1.0,-1.0,-1.0,0.0,0.0,1
6413,0.0,8945100.0,-0.0118450160186168,112770.0,2550910.0,8994864.0,0.0,0.001,0.0,0.0,0.001,1.0,0.0,0.0,1.0,2.0,1
6414,-1.0,38986372.0,0.0469270841661824,56927020.0,1360300.0,398628.0,0.0,-1.0,0.001,-5.0,0.001,-1.0,3.0,2.0,-1.0,1.0,1
6415,0.0,11081277.0,-0.0069532868703237,1351400.0,1268892.0,11752532.0,0.0,0.001,-4.0,0.0,0.001,0.0,0.0,0.0,0.0,3.0,1
6416,-1.0,6447237.0,0.0505787440526022,385500.0,8057444.0,7000.0,0.0,0.001,0.0,0.001,0.001,1.0,-1.0,-1.0,1.0,0.0,1
6417,-3.0,5545727.0,0.5729254440720353,784250.0,2710.0,6322668.0,0.0,-4.0,0.001,-4.0,0.001,-2.0,-5.0,-5.0,-2.0,0.001,1
6418,0.0,120776897.0,0.0469143408260761,143324420.0,14019988.0,0.0,18000.0,0.0,-1.0,0.001,0.001,0.0,-1.0,0.0,1.0,0.0,1
6419,0.0,14539736.0,-0.004297037692564,10234200.0,9904050.0,22330.0,0.0,-1.0,1.0,0.001,0.001,0.0,2.0,1.0,-1.0,3.0,0
6420,1.0,51792925.0,-0.0716095934250615,68719770.0,5444954.0,4450.0,0.0,0.0,-1.0,0.001,0.001,1.0,-2.0,0.0,0.0,0.0,0
6421,2.0,19053290.0,-0.1029699901052432,23110170.0,212620.0,25920.0,0.0,0.001,0.001,0.001,0.001,1.0,1.0,1.0,0.0,3.0,0
6422,-1.0,8361250.0,0.0963678129799032,83800.0,10879730.0,0.0,4740.0,0.001,-1.0,0.001,-1.0,1.0,-1.0,-1.0,0.0,-3.0,1
6423,1.0,17537555.0,-0.1081341525083278,18281880.0,5193274.0,123520.0,0.0,1.0,0.0,-3.0,0.001,0.0,1.0,1.0,1.0,0.0,0
6424,1.0,33662760.0,-0.0663458554483241,54184490.0,477550.0,0.0,0.0,0.001,0.001,0.001,0.001,1.0,0.0,0.0,0.0,-1.0,1
6425,0.0,9830515.0,0.0109233272503737,741250.0,61600.0,12341344.0,0.0,-3.0,-3.0,0.0,0.001,-2.0,0.0,1.0,0.0,-4.0,0
6426,1.0,10352669.0,-0.0877416830588271,58680.0,12654420.0,2200.0,0.0,0.001,2.0,-1.0,0.001,1.0,1.0,2.0,0.0,3.0,0
6427,-1.0,10259975.0,0.0471733582078559,7911260.0,380020.0,11957098.0,0.0,-4.0,-1.0,0.0,0.001,-1.0,1.0,0.0,0.0,0.0,1
6428,4.0,67361030.0,-0.5031287106914049,77257610.0,23000.0,20970.0,0.0,0.001,0.001,0.001,0.001,3.0,0.0,0.0,1.0,5.0,0
6429,0.0,6746096.0,-0.0081802375345789,6590500.0,1916111.0,457986.0,0.0,0.0,0.0,0.0,0.001,0.0,1.0,1.0,0.0,-1.0,1
6430,0.0,8819060.0,0.0130985813356911,630650.0,10813613.0,12210.0,0.0,0.001,-1.0,-2.0,0.001,0.0,1.0,1.0,0.0,0.0,1
6431,1.0,50758631.0,-0.0692320277328192,58150010.0,3836370.0,75465.0,0.0,0.0,-1.0,-2.0,0.001,1.0,2.0,2.0,-1.0,5.0,0
6432,2.0,13443293.0,-0.1161626190591855,7642580.0,9787224.0,59630.0,0.0,1.0,0.0,0.001,0.001,1.0,0.0,1.0,1.0,-1.0,0
6433,1.0,4372694.0,0.0020744226241935,0.0,6500.0,5905744.0,5450.0,0.001,-1.0,0.0,-2.0,0.0,1.0,1.0,1.0,1.0,1
6434,1.0,16774183.0,-0.0063050855347298,3355300.0,19342731.0,353293.0,0.0,2.0,0.0,0.0,0.001,1.0,0.0,0.0,1.0,0.0,1
6435,2.0,40957854.0,-0.2105314227198362,42411700.0,14036552.0,0.0,15400.0,2.0,2.0,0.001,0.001,2.0,1.0,2.0,2.0,4.0,0
6436,2.0,45911692.0,-0.1815353941762242,58667470.0,5157742.0,78224.0,0.0,2.0,0.0,0.001,0.001,1.0,1.0,-1.0,1.0,5.0,0
6437,-1.0,13551816.0,0.0803973635945389,19125760.0,862986.0,44789.0,0.0,0.0,-4.0,-4.0,0.001,0.0,-2.0,-2.0,-1.0,5.0,1
6438,-2.0,7607359.0,0.15994420259125,821800.0,9253781.0,73700.0,0.0,-4.0,-1.0,0.001,0.001,-2.0,-1.0,-1.0,-2.0,-1.0,1
6439,1.0,97919804.0,-0.1030526869138226,123422320.0,390587.0,3200702.0,163300.0,1.0,0.001,-1.0,0.001,1.0,-1.0,2.0,0.0,0.0,0
6440,1.0,33611882.0,-0.1899219310223471,32002210.0,6480064.0,3617823.0,0.0,2.0,0.0,-1.0,0.001,1.0,1.0,0.0,2.0,2.0,0
6441,0.0,40310682.0,-0.0396828103029527,45506840.0,2765806.0,456970.0,94900.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,3.0,0
6442,1.0,79782740.0,-0.0671118165999805,102340630.0,79980.0,27270.0,0.0,0.001,0.001,0.001,0.001,1.0,5.0,-1.0,1.0,0.0,0
6443,3.0,46514250.0,-0.3252214313382072,59401890.0,708713.0,434179.0,79850.0,3.0,-3.0,0.001,-5.0,3.0,3.0,3.0,3.0,2.0,0
6444,-1.0,9096545.0,0.0451628455987234,1724200.0,9243470.0,21730.0,0.0,-3.0,-1.0,-3.0,0.001,-1.0,0.0,0.0,0.0,2.0,1
6445,-1.0,48207552.0,0.2024198194511011,53547060.0,7374288.0,0.0,0.0,-2.0,-1.0,0.001,0.001,-1.0,-4.0,-4.0,0.0,-5.0,1
6446,-1.0,21677830.0,0.0373642564400877,26032770.0,124270.0,3890.0,53280.0,0.001,0.001,0.001,0.001,0.0,0.0,-2.0,1.0,-3.0,0
6447,0.0,8159487.0,0.0249337941569274,40000.0,10210452.0,27400.0,9900.0,0.001,0.0,-1.0,0.001,0.0,-1.0,0.0,1.0,1.0,0
6448,4.0,48830717.0,-0.2879671942774632,49469040.0,5827199.0,6540.0,0.0,3.0,0.0,0.001,0.001,2.0,3.0,1.0,3.0,4.0,0
6449,0.0,39869561.0,0.0355050480304062,51133300.0,348310.0,2763962.0,0.0,-1.0,0.001,0.0,0.001,0.0,1.0,2.0,-1.0,5.0,0
6450,0.0,37447576.0,-0.0423155561113156,52906120.0,278586.0,222780.0,0.0,0.001,0.001,0.001,0.001,0.0,-1.0,-1.0,1.0,-4.0,0
6451,-3.0,11324509.0,0.3015017787114407,1361200.0,11975988.0,93410.0,0.0,-5.0,-2.0,-4.0,0.001,-2.0,-3.0,-3.0,-2.0,-1.0,1
6452,0.0,12518490.0,0.0409478700724834,1200030.0,2435465.0,12829087.0,0.0,-4.0,0.0,0.0,0.001,-2.0,1.0,1.0,-2.0,0.001,0
6453,0.0,5125833.0,-0.0155221082188199,39000.0,55630.0,7135786.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0,1.0,2.0,0.001,1
6454,1.0,94375150.0,-0.1346503360763085,162303690.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,1.0,-1.0,-2.0,1.0,0.0,0
6455,-2.0,7070314.0,0.1995918603753557,35600.0,8778549.0,34230.0,0.0,0.001,-2.0,0.001,0.001,-1.0,-2.0,-2.0,0.0,1.0,1
6456,0.0,71393581.0,-0.0158692304248603,97581740.0,764763.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0
6457,1.0,33898848.0,-0.1225203465470898,26031490.0,2903473.0,18415756.0,0.0,1.0,-3.0,1.0,0.001,1.0,1.0,1.0,2.0,-1.0,0
6458,-1.0,17160295.0,0.1219823094326801,21180790.0,4158381.0,141560.0,0.0,-1.0,0.0,-4.0,0.001,-1.0,-1.0,-1.0,-1.0,-4.0,1
6459,2.0,15110965.0,-0.1385840560372985,16594090.0,1508411.0,15514.0,0.0,1.0,0.0,0.001,0.001,1.0,1.0,2.0,1.0,-2.0,0
6460,-2.0,68775097.0,0.2267112925746559,85715130.0,495540.0,1890419.0,0.0,-2.0,0.001,-1.0,0.001,-2.0,0.0,-3.0,-2.0,-5.0,1
6461,-2.0,71052420.0,0.2254607013331899,89090660.0,2205316.0,4062194.0,0.0,-2.0,0.0,0.0,0.001,-2.0,0.0,0.0,-2.0,-5.0,1
6462,-1.0,15333600.0,0.0380977548727654,17765780.0,1875880.0,0.0,596810.0,0.001,0.001,0.001,0.001,0.0,-1.0,-1.0,0.0,-4.0,1
6463,-1.0,43888970.0,0.0859618754770477,51547960.0,3467744.0,12100.0,302840.0,-1.0,-5.0,0.001,-6.0,-1.0,-3.0,-3.0,-1.0,0.0,1
6464,3.0,11047840.0,-0.1854238884222766,21787880.0,39000.0,162950.0,0.0,0.001,0.001,0.001,0.001,1.0,4.0,1.0,2.0,4.0,1
6465,0.0,104012603.0,-0.0736853725861592,145482600.0,2984772.0,1507626.0,0.0,1.0,-1.0,0.0,0.001,0.0,-3.0,2.0,0.0,0.0,0
6466,0.0,20327225.0,-0.0047235345050353,5077160.0,24030510.0,13150.0,0.0,0.0,1.0,-3.0,0.001,0.0,1.0,1.0,0.0,-1.0,0
6467,1.0,7251044.0,-0.0117319471834361,346890.0,31710.0,9354284.0,0.0,0.001,0.001,0.0,0.001,0.0,1.0,1.0,2.0,0.001,0
6468,1.0,8667723.0,0.002305272647298,7115390.0,6818365.0,0.0,2000.0,0.0,0.0,0.001,0.001,0.0,1.0,0.0,1.0,-2.0,0
6469,-1.0,7336315.0,0.0675594605649612,870660.0,8645983.0,10050.0,13900.0,-3.0,-1.0,0.001,0.001,-1.0,0.0,0.0,-1.0,0.0,1
6470,0.0,35002150.0,-0.0396565443942885,52207090.0,5212500.0,23360.0,0.0,1.0,0.0,0.001,0.001,0.0,-1.0,2.0,0.0,0.0,0
6471,0.0,202534397.0,-0.0079094874163933,234256590.0,1894160.0,49597.0,0.0,0.0,0.0,-2.0,0.001,0.0,0.0,0.0,0.0,0.0,0
6472,0.0,21029642.0,-0.0275371180793857,13570040.0,413020.0,17000589.0,0.0,1.0,-3.0,0.0,0.001,1.0,0.0,0.0,1.0,4.0,0
6473,3.0,13530797.0,-0.1943961049644228,7876910.0,1082856.0,7259963.0,0.0,2.0,1.0,-1.0,0.001,3.0,-1.0,0.0,3.0,-1.0,0
6474,-1.0,8047736.0,0.0789050783974296,1532000.0,9167732.0,14370.0,0.0,-1.0,0.0,-3.0,0.001,0.0,-2.0,-1.0,0.0,-3.0,1
6475,-2.0,6644468.0,0.3202570310513613,8201380.0,598968.0,7000.0,0.0,0.001,0.001,0.001,0.001,0.0,-3.0,-3.0,1.0,-2.0,1
6476,1.0,10202520.0,-0.0449521205798247,1096210.0,12480960.0,309320.0,0.0,-3.0,2.0,-5.0,0.001,1.0,2.0,1.0,0.0,0.0,0
6477,1.0,15899476.0,-0.0786658907304814,3861940.0,13934471.0,522650.0,0.0,1.0,-1.0,0.001,0.001,1.0,-3.0,-1.0,2.0,0.0,0
6478,2.0,8419136.0,-0.126028114106495,2478000.0,8060252.0,55130.0,0.0,0.001,1.0,0.001,0.001,2.0,2.0,2.0,2.0,0.001,0
6479,-2.0,10895349.0,0.1804988265950495,26700.0,12989636.0,79730.0,0.0,-2.0,-2.0,-2.0,0.001,0.0,-3.0,-3.0,1.0,-1.0,1
6480,1.0,66138139.0,-0.0666275592100748,87955600.0,1128522.0,132257.0,0.0,1.0,-2.0,-4.0,0.001,1.0,-2.0,-1.0,0.0,2.0,0
6481,1.0,5755686.0,-0.033254892819141,2138550.0,853440.0,4024693.0,37650.0,1.0,-2.0,-1.0,0.001,1.0,-1.0,-1.0,2.0,0.001,1
6482,-4.0,16416054.0,0.3405483521906749,21519820.0,1210284.0,15570.0,0.0,0.001,0.001,0.001,0.001,-2.0,-3.0,-2.0,-2.0,1.0,1
6483,2.0,9872464.0,-0.1096013113511873,14318740.0,215784.0,87900.0,0.0,0.001,0.001,0.001,0.001,2.0,2.0,1.0,2.0,0.0,0
6484,0.0,11382500.0,-0.0137633726685438,875000.0,13415065.0,65650.0,0.0,0.001,0.0,0.001,0.001,0.0,2.0,0.0,0.0,0.0,0
6485,1.0,16360300.0,-0.0385314890625556,20096550.0,345841.0,0.0,3329100.0,0.001,0.001,0.001,0.001,0.0,2.0,0.0,0.0,3.0,0
6486,0.0,11054923.0,-0.0129091797304156,216700.0,15118506.0,71285.0,0.0,0.001,0.0,0.001,0.001,1.0,-2.0,-1.0,0.0,0.001,1
6487,-2.0,5263368.0,0.1259425220170316,320920.0,294300.0,6210025.0,0.0,0.001,0.001,-1.0,0.001,1.0,-2.0,-2.0,1.0,0.001,1
6488,0.0,19265253.0,0.0259484034408394,17012850.0,8919348.0,3990.0,0.0,-1.0,1.0,0.001,0.001,-1.0,0.0,1.0,-1.0,2.0,0
6489,-1.0,48342177.0,0.1097628530390861,69362820.0,4546555.0,11450.0,0.0,-1.0,-5.0,0.001,0.001,-1.0,-5.0,-4.0,-1.0,-3.0,1
6490,2.0,20366060.0,-0.2077611356914073,25250310.0,39100.0,124650.0,0.0,1.0,0.001,0.0,0.001,2.0,1.0,3.0,1.0,4.0,0
6491,-1.0,25184000.0,0.1315044034239829,35103840.0,459618.0,83080.0,6900.0,-1.0,0.001,0.001,0.001,0.0,0.0,0.0,-1.0,-2.0,1
6492,1.0,12102058.0,-0.0687163603308235,12797020.0,951028.0,1974010.0,0.0,0.0,-4.0,0.0,0.001,1.0,1.0,0.0,1.0,2.0,0
6493,0.0,55135630.0,-0.0136688585605566,78217390.0,121020.0,59230.0,0.0,0.0,0.001,0.001,0.001,0.0,-1.0,0.0,0.0,-3.0,0
6494,0.0,63992860.0,-0.1062667947212081,90509860.0,129610.0,6800.0,0.0,0.001,0.001,0.001,0.001,0.0,2.0,4.0,0.0,5.0,0
6495,2.0,18505402.0,-0.2079100629866019,14989670.0,1412724.0,8629123.0,2000.0,3.0,-4.0,0.0,-1.0,3.0,2.0,2.0,3.0,2.0,0
6496,2.0,22261854.0,-0.1535000093267159,11474620.0,16563696.0,7240.0,0.0,0.001,0.001,0.001,0.001,2.0,1.0,1.0,2.0,3.0,0
6497,1.0,33243400.0,-0.1545748829768786,41734170.0,0.0,1295050.0,79880.0,1.0,0.001,0.0,-5.0,1.0,2.0,0.0,1.0,2.0,0
6498,0.0,26656774.0,0.0947392431620652,33502800.0,1878640.0,25240.0,0.0,-1.0,-1.0,0.001,0.001,-1.0,-1.0,-2.0,-1.0,0.0,1
6499,-2.0,41782954.0,0.1875443060082569,59595280.0,106660.0,359585.0,0.0,-2.0,0.001,-5.0,0.001,-1.0,-1.0,-3.0,-1.0,-5.0,1
6500,-2.0,7759778.0,0.1173819802578857,3111700.0,644924.0,6189041.0,0.0,-1.0,-4.0,0.0,0.001,-2.0,-1.0,-1.0,-1.0,0.001,1
6501,0.0,26808801.0,-0.0646894912018972,41390680.0,6424555.0,17640.0,0.0,0.0,0.0,-2.0,0.001,1.0,0.0,0.0,1.0,0.0,1
6502,1.0,9788283.0,-0.0626106782748867,1074400.0,3328618.0,7983821.0,0.0,-3.0,0.0,1.0,0.001,0.0,2.0,2.0,0.0,0.0,0
6503,-2.0,12733438.0,0.1431472192774623,5326010.0,634456.0,12913713.0,0.0,0.0,0.001,-1.0,0.001,-1.0,-2.0,-2.0,-1.0,-2.0,1
6504,0.0,19859079.0,0.0248209180342549,4932800.0,20595436.0,791292.0,0.0,0.0,1.0,0.0,0.001,1.0,0.0,0.0,0.0,0.0,1
