°í°´¹øÈ£,A¹æ¹®È½¼ö,B¹æ¹®È½¼ö,C¹æ¹®È½¼ö,D¹æ¹®È½¼ö,½Å±Ô°í°´,¸íÇ°±¸¸ÅÀÚ
2113,32.0,4.0,535.0,0.0,1.0,0.0
2114,329.0,16.0,8.0,0.0,1.0,2.0
2115,55.0,15.0,644.0,0.0,1.0,0.0
2116,305.0,45.0,0.0,1.0,1.0,2.0
2117,81.0,335.0,8.0,0.0,1.0,2.0
2118,14.0,3.0,489.0,0.0,1.0,0.0
2119,266.0,6.0,12.0,35.0,1.0,2.0
2120,67.0,344.0,1.0,0.0,1.0,2.0
2121,314.0,1.0,6.0,3.0,1.0,0.0
2122,348.0,5.0,1.0,0.0,1.0,2.0
2123,521.0,1.0,42.0,0.0,1.0,2.0
2124,260.0,0.0,48.0,0.0,1.0,2.0
2125,282.0,45.0,1.0,0.0,1.0,2.0
2126,460.0,18.0,16.0,0.0,1.0,2.0
2127,29.0,2.0,492.0,0.0,1.0,0.0
2128,419.0,3.0,9.0,0.0,1.0,2.0
2129,55.0,374.0,1.0,0.0,1.0,2.0
2130,449.0,1.0,24.0,0.0,1.0,0.0
2131,15.0,5.0,632.0,0.0,1.0,0.0
2132,9.0,403.0,1.0,0.0,1.0,0.0
2133,236.0,1.0,8.0,0.0,1.0,0.0
2134,60.0,307.0,76.0,1.0,1.0,2.0
2135,5.0,451.0,5.0,0.0,1.0,0.0
2136,230.0,36.0,2.0,1.0,1.0,2.0
2137,313.0,5.0,15.0,0.0,1.0,0.0
2138,333.0,4.0,2.0,0.0,1.0,2.0
2139,358.0,62.0,2.0,1.0,1.0,2.0
2140,7.0,1.0,525.0,0.0,1.0,0.0
2141,21.0,452.0,1.0,0.0,1.0,0.0
2142,40.0,348.0,4.0,0.0,1.0,2.0
2143,337.0,1.0,5.0,0.0,1.0,2.0
2144,432.0,108.0,2.0,1.0,1.0,2.0
2145,400.0,1.0,2.0,0.0,1.0,2.0
2146,3.0,1.0,471.0,0.0,1.0,0.0
2147,533.0,6.0,51.0,0.0,1.0,0.0
2148,351.0,90.0,207.0,0.0,1.0,2.0
2149,458.0,59.0,88.0,0.0,1.0,2.0
2150,172.0,7.0,34.0,0.0,1.0,0.0
2151,1.0,409.0,7.0,2.0,1.0,0.0
2152,290.0,51.0,0.0,2.0,1.0,0.0
2153,6.0,449.0,13.0,0.0,1.0,0.0
2154,198.0,65.0,64.0,0.0,1.0,2.0
2155,135.0,6.0,17.0,1.0,1.0,0.0
2156,368.0,1.0,46.0,0.0,1.0,2.0
2157,79.0,334.0,2.0,0.0,1.0,2.0
2158,249.0,0.0,2.0,0.0,1.0,2.0
2159,327.0,84.0,38.0,0.0,1.0,2.0
2160,49.0,330.0,1.0,0.0,1.0,0.0
2161,304.0,10.0,1.0,2.0,1.0,2.0
2162,451.0,36.0,0.0,0.0,1.0,2.0
2163,25.0,476.0,1.0,0.0,1.0,0.0
2164,14.0,290.0,18.0,0.0,1.0,0.0
2165,19.0,337.0,1.0,0.0,1.0,2.0
2166,1.0,387.0,20.0,0.0,1.0,0.0
2167,21.0,408.0,3.0,0.0,1.0,0.0
2168,257.0,25.0,1.0,0.0,1.0,2.0
2169,325.0,26.0,7.0,5.0,1.0,2.0
2170,294.0,73.0,55.0,0.0,1.0,2.0
2171,386.0,7.0,21.0,0.0,1.0,2.0
2172,264.0,68.0,3.0,0.0,1.0,2.0
2173,51.0,391.0,60.0,0.0,1.0,0.0
2174,47.0,478.0,20.0,0.0,1.0,0.0
2175,56.0,354.0,0.0,1.0,1.0,2.0
2176,13.0,541.0,1.0,0.0,1.0,2.0
2177,260.0,0.0,192.0,0.0,1.0,2.0
2178,424.0,10.0,38.0,0.0,1.0,0.0
2179,397.0,88.0,0.0,1.0,1.0,2.0
2180,29.0,475.0,0.0,0.0,1.0,2.0
2181,554.0,269.0,21.0,0.0,1.0,2.0
2182,1.0,348.0,7.0,0.0,1.0,0.0
2183,37.0,5.0,772.0,0.0,1.0,2.0
2184,322.0,4.0,19.0,0.0,1.0,2.0
2185,418.0,73.0,3.0,36.0,1.0,2.0
2186,286.0,20.0,52.0,0.0,1.0,2.0
2187,329.0,12.0,1.0,0.0,1.0,2.0
2188,2.0,1.0,504.0,0.0,1.0,0.0
2189,218.0,12.0,2.0,0.0,1.0,2.0
2190,73.0,379.0,16.0,0.0,1.0,2.0
2191,21.0,476.0,3.0,0.0,1.0,0.0
2192,297.0,16.0,2.0,0.0,1.0,2.0
2193,3.0,2.0,568.0,0.0,1.0,0.0
2194,1.0,17.0,0.0,0.0,1.0,0.0
2195,412.0,44.0,71.0,1.0,1.0,2.0
2196,28.0,361.0,3.0,0.0,1.0,0.0
2197,309.0,30.0,109.0,8.0,1.0,2.0
2198,182.0,4.0,4.0,0.0,1.0,0.0
2199,224.0,1.0,7.0,0.0,1.0,2.0
2200,374.0,6.0,0.0,0.0,1.0,0.0
2201,14.0,372.0,2.0,0.0,1.0,0.0
2202,363.0,22.0,1.0,0.0,1.0,2.0
2203,4.0,329.0,25.0,1.0,1.0,0.0
2204,8.0,386.0,1.0,0.0,1.0,0.0
2205,258.0,2.0,15.0,0.0,1.0,2.0
2206,212.0,9.0,29.0,0.0,1.0,2.0
2207,396.0,129.0,0.0,0.0,1.0,2.0
2208,12.0,357.0,1.0,0.0,1.0,0.0
2209,294.0,89.0,3.0,0.0,1.0,2.0
2210,15.0,245.0,10.0,4.0,1.0,0.0
2211,22.0,368.0,65.0,0.0,1.0,0.0
2212,53.0,413.0,52.0,0.0,1.0,0.0
2213,18.0,517.0,2.0,0.0,1.0,2.0
2214,48.0,306.0,1.0,1.0,1.0,0.0
2215,1.0,2.0,619.0,0.0,1.0,0.0
2216,322.0,6.0,1.0,0.0,1.0,2.0
2217,275.0,14.0,0.0,2.0,1.0,2.0
2218,296.0,73.0,105.0,1.0,1.0,2.0
2219,286.0,7.0,0.0,1.0,1.0,2.0
2220,94.0,0.0,578.0,3.0,1.0,0.0
2221,340.0,23.0,202.0,0.0,1.0,0.0
2222,6.0,337.0,2.0,0.0,1.0,0.0
2223,290.0,2.0,34.0,0.0,1.0,2.0
2224,297.0,5.0,33.0,0.0,1.0,2.0
2225,281.0,24.0,2.0,0.0,1.0,2.0
2226,230.0,31.0,158.0,0.0,1.0,2.0
2227,28.0,4.0,553.0,0.0,1.0,2.0
2228,283.0,19.0,2.0,0.0,1.0,2.0
2229,251.0,67.0,2.0,0.0,1.0,2.0
2230,456.0,114.0,38.0,0.0,1.0,2.0
2231,338.0,0.0,192.0,4.0,1.0,2.0
2232,309.0,16.0,15.0,3.0,1.0,0.0
2233,356.0,6.0,0.0,2.0,1.0,2.0
2234,244.0,9.0,3.0,2.0,1.0,2.0
2235,414.0,0.0,91.0,0.0,1.0,2.0
2236,119.0,274.0,0.0,0.0,1.0,2.0
2237,335.0,7.0,78.0,0.0,1.0,2.0
2238,435.0,52.0,360.0,3.0,1.0,2.0
2239,274.0,1.0,1.0,1.0,1.0,2.0
2240,42.0,339.0,1.0,0.0,1.0,0.0
2241,260.0,240.0,8.0,0.0,1.0,2.0
2242,70.0,461.0,0.0,1.0,1.0,2.0
2243,338.0,6.0,1.0,21.0,1.0,2.0
2244,297.0,70.0,0.0,1.0,1.0,2.0
2245,1.0,387.0,1.0,0.0,1.0,0.0
2246,21.0,53.0,692.0,0.0,1.0,0.0
2247,2.0,13.0,644.0,0.0,1.0,0.0
2248,283.0,0.0,2.0,13.0,1.0,2.0
2249,88.0,437.0,1.0,0.0,1.0,0.0
2250,4.0,13.0,531.0,0.0,1.0,0.0
2251,90.0,530.0,17.0,0.0,1.0,0.0
2252,23.0,8.0,397.0,0.0,1.0,0.0
2253,21.0,69.0,563.0,0.0,1.0,0.0
2254,286.0,20.0,0.0,18.0,1.0,2.0
2255,200.0,285.0,2.0,0.0,1.0,0.0
2256,294.0,11.0,2.0,0.0,1.0,2.0
2257,13.0,379.0,1.0,0.0,1.0,0.0
2258,432.0,12.0,0.0,1.0,1.0,2.0
2259,423.0,54.0,22.0,0.0,1.0,2.0
2260,371.0,1.0,6.0,0.0,1.0,2.0
2261,302.0,10.0,5.0,0.0,1.0,2.0
2262,231.0,32.0,2.0,2.0,1.0,2.0
2263,3.0,33.0,656.0,0.0,1.0,0.0
2264,5.0,331.0,1.0,1.0,1.0,0.0
2265,362.0,1.0,298.0,0.0,1.0,0.0
2266,384.0,58.0,0.0,0.0,1.0,2.0
2267,13.0,1.0,634.0,0.0,1.0,0.0
2268,206.0,257.0,183.0,0.0,1.0,2.0
2269,73.0,423.0,2.0,0.0,1.0,0.0
2270,21.0,1.0,533.0,1.0,1.0,0.0
2271,24.0,514.0,17.0,0.0,1.0,0.0
2272,333.0,66.0,3.0,0.0,1.0,2.0
2273,5.0,3.0,627.0,0.0,1.0,0.0
2274,280.0,317.0,2.0,0.0,1.0,2.0
2275,321.0,14.0,3.0,0.0,1.0,0.0
2276,288.0,75.0,1.0,0.0,1.0,2.0
2277,271.0,232.0,1.0,0.0,1.0,2.0
2278,144.0,41.0,2.0,0.0,1.0,2.0
2279,4.0,421.0,1.0,0.0,1.0,0.0
2280,387.0,14.0,46.0,1.0,1.0,2.0
2281,5.0,371.0,2.0,0.0,1.0,0.0
2282,1.0,481.0,1.0,0.0,1.0,0.0
2283,18.0,316.0,28.0,0.0,1.0,0.0
2284,342.0,23.0,3.0,0.0,1.0,2.0
2285,34.0,495.0,1.0,0.0,1.0,0.0
2286,257.0,87.0,1.0,0.0,1.0,2.0
2287,285.0,0.0,0.0,0.0,1.0,2.0
2288,306.0,131.0,5.0,1.0,1.0,2.0
2289,277.0,3.0,1.0,1.0,1.0,0.0
2290,320.0,14.0,1.0,0.0,1.0,2.0
2291,10.0,434.0,1.0,0.0,1.0,0.0
2292,43.0,447.0,0.0,1.0,1.0,0.0
2293,316.0,3.0,1.0,0.0,1.0,2.0
2294,8.0,453.0,7.0,0.0,1.0,0.0
2295,292.0,8.0,7.0,0.0,1.0,0.0
2296,250.0,1.0,42.0,0.0,1.0,2.0
2297,16.0,438.0,1.0,0.0,1.0,2.0
2298,21.0,465.0,2.0,0.0,1.0,0.0
2299,21.0,272.0,1.0,0.0,1.0,0.0
2300,573.0,1.0,1.0,0.0,1.0,2.0
2301,290.0,4.0,50.0,0.0,1.0,2.0
2302,217.0,22.0,2.0,0.0,1.0,2.0
2303,16.0,343.0,0.0,1.0,1.0,0.0
2304,2.0,385.0,2.0,0.0,1.0,0.0
2305,364.0,0.0,3.0,0.0,1.0,0.0
2306,10.0,363.0,1.0,0.0,1.0,0.0
2307,2.0,19.0,819.0,0.0,1.0,0.0
2308,3.0,330.0,15.0,0.0,1.0,0.0
2309,344.0,115.0,4.0,5.0,1.0,2.0
2310,281.0,85.0,22.0,1.0,1.0,2.0
2311,332.0,4.0,150.0,0.0,1.0,2.0
2312,355.0,3.0,2.0,0.0,1.0,2.0
2313,285.0,51.0,1.0,1.0,1.0,2.0
2314,313.0,6.0,1.0,0.0,1.0,2.0
2315,287.0,159.0,94.0,0.0,1.0,2.0
2316,74.0,336.0,2.0,16.0,1.0,0.0
2317,2.0,342.0,13.0,0.0,1.0,0.0
2318,8.0,2.0,463.0,0.0,1.0,0.0
2319,413.0,113.0,2.0,0.0,1.0,2.0
2320,272.0,52.0,17.0,9.0,1.0,2.0
2321,15.0,356.0,4.0,1.0,1.0,0.0
2322,6.0,212.0,31.0,0.0,1.0,0.0
2323,372.0,7.0,1.0,0.0,1.0,2.0
2324,177.0,292.0,1.0,0.0,1.0,2.0
2325,30.0,452.0,0.0,2.0,1.0,0.0
2326,3.0,496.0,5.0,0.0,1.0,0.0
2327,235.0,19.0,33.0,0.0,1.0,2.0
2328,8.0,342.0,2.0,0.0,1.0,0.0
2329,249.0,0.0,7.0,1.0,1.0,0.0
2330,36.0,447.0,73.0,0.0,1.0,2.0
2331,2.0,4.0,516.0,0.0,1.0,0.0
2332,428.0,4.0,6.0,0.0,1.0,0.0
2333,354.0,12.0,24.0,1.0,1.0,0.0
2334,267.0,0.0,3.0,0.0,1.0,2.0
2335,256.0,40.0,0.0,1.0,1.0,2.0
2336,246.0,1.0,19.0,1.0,1.0,2.0
2337,304.0,1.0,1.0,1.0,1.0,2.0
2338,455.0,23.0,0.0,1.0,1.0,0.0
2339,322.0,3.0,1.0,0.0,1.0,2.0
2340,336.0,13.0,1.0,0.0,1.0,2.0
2341,95.0,300.0,7.0,0.0,1.0,0.0
2342,1.0,1.0,663.0,0.0,1.0,0.0
2343,537.0,300.0,46.0,0.0,1.0,2.0
2344,56.0,390.0,5.0,0.0,1.0,2.0
2345,359.0,34.0,2.0,0.0,1.0,2.0
2346,100.0,330.0,1.0,0.0,1.0,2.0
2347,2.0,416.0,0.0,1.0,1.0,0.0
2348,1.0,52.0,216.0,0.0,1.0,0.0
2349,2.0,61.0,713.0,0.0,1.0,0.0
2350,19.0,392.0,1.0,0.0,1.0,0.0
2351,90.0,337.0,80.0,0.0,1.0,0.0
2352,35.0,498.0,3.0,0.0,1.0,0.0
2353,80.0,486.0,6.0,0.0,1.0,0.0
2354,333.0,6.0,1.0,0.0,1.0,2.0
2355,11.0,12.0,477.0,0.0,1.0,0.0
2356,5.0,405.0,8.0,0.0,1.0,0.0
2357,1.0,2.0,482.0,0.0,1.0,0.0
2358,4.0,1.0,522.0,0.0,1.0,0.0
2359,28.0,328.0,7.0,0.0,1.0,0.0
2360,9.0,54.0,1.0,0.0,1.0,0.0
2361,266.0,0.0,2.0,0.0,1.0,2.0
2362,257.0,38.0,52.0,0.0,1.0,2.0
2363,2.0,2.0,562.0,0.0,1.0,0.0
2364,249.0,43.0,51.0,0.0,1.0,0.0
2365,342.0,3.0,24.0,0.0,1.0,2.0
2366,3.0,0.0,502.0,1.0,2.0,0.0
2367,1.0,271.0,165.0,0.0,1.0,0.0
2368,529.0,88.0,14.0,0.0,1.0,2.0
2369,41.0,356.0,14.0,0.0,1.0,2.0
2370,398.0,10.0,2.0,0.0,1.0,2.0
2371,1.0,391.0,28.0,0.0,1.0,0.0
2372,377.0,6.0,4.0,0.0,1.0,0.0
2373,150.0,330.0,2.0,0.0,1.0,2.0
2374,324.0,19.0,0.0,1.0,1.0,2.0
2375,385.0,0.0,6.0,1.0,1.0,2.0
2376,305.0,2.0,23.0,0.0,1.0,2.0
2377,4.0,418.0,0.0,1.0,1.0,0.0
2378,228.0,90.0,1.0,1.0,1.0,2.0
2379,3.0,370.0,1.0,0.0,1.0,0.0
2380,270.0,155.0,11.0,0.0,1.0,2.0
2381,1.0,427.0,6.0,0.0,1.0,0.0
2382,27.0,333.0,1.0,0.0,1.0,0.0
2383,296.0,13.0,147.0,0.0,1.0,2.0
2384,309.0,3.0,11.0,2.0,1.0,2.0
2385,320.0,31.0,50.0,1.0,1.0,2.0
2386,341.0,10.0,40.0,0.0,1.0,0.0
2387,135.0,1.0,13.0,0.0,1.0,0.0
2388,4.0,13.0,461.0,0.0,1.0,0.0
2389,423.0,19.0,19.0,0.0,1.0,0.0
2390,346.0,1.0,18.0,1.0,1.0,2.0
2391,379.0,12.0,0.0,0.0,1.0,0.0
2392,353.0,279.0,1.0,1.0,1.0,2.0
2393,388.0,213.0,141.0,0.0,1.0,2.0
2394,292.0,16.0,3.0,0.0,1.0,2.0
2395,13.0,438.0,25.0,0.0,1.0,0.0
2396,307.0,1.0,0.0,0.0,1.0,2.0
2397,0.0,348.0,4.0,0.0,1.0,0.0
2398,10.0,341.0,2.0,0.0,1.0,0.0
2399,232.0,39.0,7.0,2.0,1.0,0.0
2400,329.0,45.0,3.0,3.0,1.0,2.0
2401,22.0,19.0,685.0,0.0,1.0,2.0
2402,281.0,25.0,16.0,1.0,1.0,2.0
2403,17.0,425.0,2.0,0.0,1.0,0.0
2404,238.0,2.0,7.0,0.0,1.0,2.0
2405,4.0,2.0,774.0,0.0,1.0,0.0
2406,7.0,344.0,67.0,0.0,1.0,0.0
2407,2.0,466.0,14.0,1.0,1.0,0.0
2408,1.0,546.0,1.0,0.0,1.0,0.0
2409,394.0,0.0,0.0,0.0,1.0,2.0
2410,11.0,1.0,500.0,0.0,1.0,0.0
2411,352.0,34.0,0.0,1.0,1.0,2.0
2412,306.0,30.0,18.0,0.0,1.0,2.0
2413,254.0,38.0,1.0,0.0,1.0,0.0
2414,140.0,370.0,1.0,0.0,1.0,2.0
2415,207.0,79.0,8.0,0.0,1.0,2.0
2416,354.0,6.0,16.0,2.0,1.0,2.0
2417,19.0,547.0,1.0,0.0,1.0,0.0
2418,23.0,2.0,574.0,1.0,1.0,0.0
2419,17.0,337.0,10.0,0.0,1.0,2.0
2420,297.0,263.0,12.0,0.0,1.0,2.0
2421,4.0,19.0,938.0,0.0,1.0,0.0
2422,357.0,27.0,2.0,0.0,1.0,2.0
2423,226.0,0.0,3.0,0.0,1.0,0.0
2424,7.0,89.0,619.0,0.0,1.0,0.0
2425,286.0,1.0,0.0,11.0,1.0,0.0
2426,387.0,3.0,5.0,0.0,1.0,0.0
2427,528.0,18.0,3.0,0.0,1.0,0.0
2428,269.0,28.0,49.0,0.0,1.0,0.0
2429,300.0,14.0,11.0,0.0,1.0,2.0
2430,306.0,28.0,39.0,9.0,1.0,2.0
2431,256.0,32.0,0.0,1.0,1.0,0.0
2432,315.0,105.0,159.0,0.0,1.0,0.0
2433,376.0,100.0,136.0,0.0,1.0,2.0
2434,311.0,7.0,0.0,11.0,1.0,2.0
2435,312.0,82.0,297.0,0.0,1.0,2.0
2436,18.0,1.0,552.0,0.0,1.0,0.0
2437,230.0,41.0,0.0,0.0,1.0,2.0
2438,263.0,9.0,26.0,1.0,1.0,2.0
2439,340.0,65.0,37.0,4.0,1.0,2.0
2440,307.0,133.0,23.0,0.0,1.0,2.0
2441,2.0,49.0,566.0,0.0,1.0,0.0
2442,3.0,473.0,1.0,0.0,1.0,0.0
2443,297.0,3.0,3.0,0.0,1.0,2.0
2444,28.0,368.0,1.0,0.0,1.0,0.0
2445,20.0,479.0,44.0,0.0,1.0,2.0
2446,338.0,1.0,12.0,0.0,1.0,2.0
2447,6.0,532.0,4.0,0.0,1.0,0.0
2448,3.0,333.0,179.0,0.0,1.0,0.0
2449,212.0,7.0,3.0,1.0,1.0,2.0
2450,20.0,0.0,207.0,0.0,1.0,0.0
2451,474.0,6.0,0.0,14.0,1.0,2.0
2452,29.0,385.0,1.0,0.0,1.0,0.0
2453,221.0,6.0,2.0,4.0,1.0,2.0
2454,0.0,107.0,512.0,1.0,1.0,0.0
2455,1.0,17.0,527.0,0.0,1.0,0.0
2456,382.0,207.0,27.0,1.0,1.0,2.0
2457,188.0,1.0,1.0,0.0,1.0,2.0
2458,327.0,17.0,2.0,0.0,1.0,2.0
2459,86.0,429.0,47.0,0.0,1.0,0.0
2460,224.0,20.0,4.0,0.0,1.0,2.0
2461,267.0,61.0,2.0,0.0,1.0,2.0
2462,236.0,8.0,27.0,0.0,1.0,2.0
2463,389.0,9.0,3.0,0.0,1.0,2.0
2464,281.0,0.0,46.0,3.0,1.0,0.0
2465,292.0,5.0,2.0,0.0,1.0,2.0
2466,3.0,464.0,4.0,0.0,1.0,0.0
2467,0.0,2.0,808.0,0.0,1.0,0.0
2468,287.0,0.0,9.0,0.0,1.0,0.0
2469,10.0,294.0,0.0,2.0,1.0,0.0
2470,3.0,402.0,3.0,0.0,1.0,0.0
2471,442.0,0.0,8.0,2.0,1.0,2.0
2472,301.0,2.0,4.0,0.0,1.0,2.0
2473,268.0,22.0,2.0,0.0,1.0,2.0
2474,235.0,2.0,6.0,0.0,1.0,2.0
2475,130.0,288.0,143.0,1.0,1.0,2.0
2476,25.0,40.0,469.0,0.0,1.0,0.0
2477,256.0,2.0,12.0,0.0,1.0,2.0
2478,272.0,15.0,3.0,3.0,1.0,2.0
2479,10.0,337.0,0.0,0.0,1.0,2.0
2480,20.0,242.0,19.0,0.0,1.0,0.0
2481,267.0,18.0,16.0,0.0,1.0,2.0
2482,389.0,6.0,4.0,0.0,1.0,0.0
2483,8.0,384.0,2.0,0.0,1.0,2.0
2484,319.0,0.0,116.0,0.0,1.0,2.0
2485,310.0,2.0,5.0,2.0,1.0,2.0
2486,423.0,67.0,1.0,0.0,1.0,2.0
2487,59.0,354.0,1.0,0.0,1.0,0.0
2488,404.0,12.0,1.0,27.0,1.0,2.0
2489,8.0,364.0,36.0,0.0,1.0,0.0
2490,429.0,10.0,4.0,0.0,1.0,0.0
2491,164.0,325.0,50.0,0.0,1.0,0.0
2492,36.0,374.0,1.0,0.0,1.0,2.0
2493,348.0,1.0,27.0,0.0,1.0,2.0
2494,361.0,15.0,10.0,0.0,1.0,0.0
2495,316.0,107.0,2.0,0.0,1.0,2.0
2496,272.0,20.0,8.0,0.0,1.0,2.0
2497,364.0,0.0,0.0,0.0,1.0,2.0
2498,261.0,1.0,0.0,1.0,1.0,2.0
2499,334.0,10.0,1.0,0.0,1.0,2.0
2500,28.0,12.0,595.0,0.0,1.0,0.0
2501,301.0,27.0,1.0,3.0,1.0,2.0
2502,278.0,23.0,1.0,0.0,1.0,2.0
2503,233.0,4.0,27.0,0.0,1.0,2.0
2504,384.0,1.0,107.0,0.0,1.0,2.0
2505,128.0,364.0,1.0,1.0,1.0,2.0
2506,364.0,1.0,2.0,1.0,1.0,2.0
2507,52.0,301.0,15.0,0.0,1.0,2.0
2508,11.0,389.0,151.0,0.0,1.0,0.0
2509,272.0,34.0,24.0,1.0,1.0,0.0
2510,350.0,2.0,10.0,0.0,1.0,0.0
2511,7.0,1.0,633.0,0.0,1.0,0.0
2512,6.0,426.0,2.0,0.0,1.0,0.0
2513,229.0,29.0,20.0,0.0,1.0,2.0
2514,106.0,271.0,3.0,1.0,1.0,2.0
2515,269.0,61.0,233.0,0.0,1.0,2.0
2516,36.0,351.0,23.0,0.0,1.0,2.0
2517,286.0,10.0,5.0,1.0,1.0,0.0
2518,2.0,374.0,1.0,0.0,1.0,0.0
2519,2.0,351.0,2.0,0.0,1.0,0.0
2520,186.0,229.0,0.0,1.0,1.0,0.0
2521,321.0,13.0,46.0,0.0,1.0,2.0
2522,326.0,1.0,1.0,0.0,1.0,0.0
2523,399.0,2.0,24.0,53.0,1.0,0.0
2524,32.0,459.0,28.0,0.0,1.0,2.0
2525,421.0,4.0,12.0,1.0,1.0,2.0
2526,333.0,26.0,1.0,0.0,1.0,2.0
2527,486.0,1.0,2.0,0.0,1.0,2.0
2528,16.0,309.0,1.0,0.0,1.0,0.0
2529,342.0,84.0,76.0,3.0,1.0,0.0
2530,4.0,405.0,8.0,0.0,1.0,0.0
2531,85.0,50.0,557.0,0.0,1.0,0.0
2532,17.0,1.0,491.0,0.0,1.0,0.0
2533,1.0,378.0,13.0,0.0,1.0,0.0
2534,341.0,14.0,0.0,4.0,1.0,2.0
2535,12.0,324.0,2.0,0.0,1.0,0.0
2536,1.0,411.0,1.0,0.0,1.0,0.0
2537,8.0,359.0,11.0,0.0,1.0,0.0
2538,254.0,73.0,41.0,0.0,1.0,2.0
2539,374.0,6.0,0.0,1.0,1.0,2.0
2540,271.0,30.0,149.0,0.0,1.0,2.0
2541,451.0,21.0,1.0,0.0,1.0,2.0
2542,28.0,336.0,6.0,0.0,1.0,0.0
2543,83.0,401.0,1.0,0.0,1.0,2.0
2544,260.0,79.0,33.0,0.0,1.0,2.0
2545,7.0,13.0,465.0,0.0,1.0,0.0
2546,271.0,1.0,2.0,0.0,1.0,0.0
2547,45.0,67.0,555.0,0.0,1.0,0.0
2548,324.0,4.0,0.0,15.0,1.0,2.0
2549,2.0,23.0,628.0,0.0,1.0,0.0
2550,25.0,371.0,22.0,0.0,1.0,2.0
2551,3.0,363.0,1.0,0.0,1.0,0.0
2552,299.0,40.0,1.0,1.0,1.0,2.0
2553,225.0,6.0,0.0,1.0,1.0,2.0
2554,33.0,354.0,4.0,0.0,1.0,0.0
2555,32.0,242.0,5.0,0.0,1.0,0.0
2556,278.0,1.0,20.0,18.0,1.0,2.0
2557,304.0,64.0,0.0,2.0,1.0,2.0
2558,259.0,5.0,0.0,2.0,1.0,0.0
2559,273.0,1.0,0.0,2.0,1.0,2.0
2560,30.0,51.0,624.0,0.0,1.0,0.0
2561,368.0,2.0,144.0,1.0,1.0,2.0
2562,4.0,335.0,5.0,0.0,1.0,0.0
2563,20.0,279.0,11.0,1.0,1.0,0.0
2564,6.0,446.0,9.0,0.0,1.0,0.0
2565,109.0,437.0,2.0,0.0,1.0,0.0
2566,396.0,2.0,111.0,0.0,1.0,2.0
2567,42.0,351.0,82.0,0.0,1.0,0.0
2568,1.0,365.0,1.0,0.0,1.0,0.0
2569,610.0,2.0,20.0,0.0,1.0,0.0
2570,366.0,40.0,1.0,0.0,1.0,2.0
2571,315.0,240.0,78.0,0.0,1.0,2.0
2572,353.0,31.0,7.0,0.0,1.0,2.0
2573,295.0,67.0,1.0,1.0,1.0,2.0
2574,310.0,1.0,88.0,0.0,1.0,2.0
2575,279.0,24.0,1.0,5.0,1.0,2.0
2576,17.0,435.0,1.0,0.0,1.0,0.0
2577,8.0,331.0,37.0,0.0,1.0,0.0
2578,316.0,41.0,0.0,1.0,1.0,2.0
2579,47.0,372.0,1.0,0.0,1.0,2.0
2580,269.0,1.0,3.0,0.0,1.0,2.0
2581,458.0,5.0,44.0,3.0,1.0,2.0
2582,20.0,9.0,546.0,0.0,1.0,0.0
2583,423.0,1.0,0.0,1.0,1.0,2.0
2584,1.0,380.0,1.0,0.0,1.0,0.0
2585,27.0,294.0,11.0,0.0,1.0,0.0
2586,292.0,97.0,329.0,5.0,1.0,0.0
2587,420.0,142.0,2.0,0.0,1.0,2.0
2588,4.0,519.0,1.0,0.0,1.0,0.0
2589,13.0,362.0,23.0,0.0,1.0,0.0
2590,358.0,217.0,19.0,0.0,1.0,2.0
2591,361.0,122.0,1.0,0.0,1.0,2.0
2592,298.0,18.0,10.0,1.0,1.0,2.0
2593,347.0,3.0,6.0,0.0,1.0,2.0
2594,14.0,1.0,758.0,0.0,1.0,0.0
2595,347.0,30.0,72.0,21.0,1.0,2.0
2596,2.0,370.0,0.0,1.0,1.0,0.0
2597,342.0,50.0,3.0,0.0,1.0,2.0
2598,237.0,9.0,11.0,0.0,1.0,2.0
2599,73.0,410.0,7.0,0.0,1.0,0.0
2600,3.0,471.0,0.0,1.0,1.0,0.0
2601,307.0,55.0,1.0,0.0,1.0,2.0
2602,44.0,355.0,2.0,0.0,1.0,2.0
2603,4.0,383.0,2.0,0.0,1.0,0.0
2604,344.0,23.0,134.0,1.0,1.0,2.0
2605,292.0,1.0,9.0,1.0,1.0,0.0
2606,2.0,309.0,7.0,0.0,1.0,0.0
2607,23.0,95.0,341.0,0.0,1.0,0.0
2608,274.0,40.0,63.0,0.0,1.0,2.0
2609,12.0,459.0,5.0,0.0,1.0,0.0
2610,15.0,19.0,572.0,0.0,1.0,0.0
2611,1.0,2.0,681.0,0.0,1.0,0.0
2612,296.0,13.0,0.0,2.0,1.0,2.0
2613,385.0,38.0,1.0,1.0,1.0,2.0
2614,360.0,0.0,193.0,32.0,1.0,0.0
2615,401.0,2.0,3.0,0.0,1.0,0.0
2616,329.0,26.0,4.0,0.0,1.0,2.0
2617,37.0,422.0,1.0,0.0,1.0,0.0
2618,10.0,653.0,3.0,10.0,1.0,0.0
2619,396.0,4.0,0.0,1.0,1.0,2.0
2620,2.0,281.0,72.0,0.0,1.0,0.0
2621,46.0,1.0,0.0,0.0,1.0,0.0
2622,34.0,329.0,1.0,0.0,1.0,0.0
2623,385.0,1.0,0.0,1.0,1.0,2.0
2624,241.0,1.0,14.0,0.0,1.0,0.0
2625,353.0,21.0,100.0,13.0,1.0,2.0
2626,265.0,2.0,3.0,0.0,1.0,2.0
